,Users,Comments
344,MartukaPop,"@ILoveGA Yeah, I LOVE Bones. But I konw how the Season Finale ends. I'm not ready to see it yet. "
345,Nawel_xx,@Alisha2009 aww dont worry you'll be off to uni soon.. then FREEDOM!! haha i have to live at home when im at uni 
346,HeddaDamasco,"@julamo Get on, betch. I miss you. "
347,peaceloveanisa,@pookie009 well thats not nice 
348,dushihara,Off to take the sat 
349,edwinjr2003,@MakurManSaiDam  hey no laughing  lol nah but i went cuz a friend wanted me to go cuz it was there first day of work there...
350,Wah82AG,where the hell is my ipod 
351,samigarcia,My Tap Tap doesn`t work. 
352,lisaeroth,Drinkin coffee and reading. LOVE this morning all ready except for the wind and clouds. No big splash trip for me 
353,lauraweavis,"dont get this at all i hav no friends,, i  cant find any   xx"
354,LoriPaul,No hot water again 
355,prudencemadness,No free load for this month? 
356,shefaly,@Dibyo The Woo hoo was for Steffi of course whom we now rarely see. 
357,laurachel,going to bed now... i have rsi from photographing all day 
358,DJZIGGY77,doesnt wanna be at work 2day  
359,O_Olivia,4 hours left 
360,LucyFAlewis,is soo gonna have a well boring weekend 
361,rosebiggin,@yestomhughesyes oh! 
362,TigerAngel68,@xDaisyLanex I will run away if I have to just to be there next time!! Had ticket for Margate but then cldnt make it   Too sad and cruel!!
363,FaithfulChosen,@maureenjohnson But we tried so hard! 
364,barbsrad,@scarboy I'm sure something will come about! also: 
365,coreymat21,Just created a twitter page...it's a little confusing 
366,tropicsunshine,exam week  FML.
367,JohnLakeSilk,cleaning out spare room 
368,Jb460,I just had to put my family's cat down 
369,AlexaTrifilo,Headed into Madison for Cows on the Concourse...in the rain 
370,AnicaSasko,@nicksantino aww  that sucks same here i cant sleep pass 10 am ha.
371,PricelessRuby,"been wanting a good chix finger salad for a few days but its brkfst tyme???  Maybe I'll run to the greeek spot get steak,eggs,and potatos?"
372,keepthefaith_x,I feel as though I'm going to throw up 
373,phebyatreyu,"beezzbeez, want to sleep but just can't do it "
374,Rahul_R,@Riti25 u love ur dogs don't u...!! jenny Jaaan...!! XD nah no rain... but September I am commin....!! will miss ur BDAY like evry time 
375,nattiepang,I'm full of regrets because I didn't go to Ben's chalet. They seemed to have fun there 
376,MOKID1985,I just saw a picture of Micah's curls. I miss them. 
377,winniehkwn,"bored to death. wanna do something, anything FUN "
378,JEM46,Well it's stopped raining. Luvly lunch. Shame I was sick after  Think the irish coffee was a step too far!
379,dannydubstep,@cha0sbydesign still haven't left for the mountains but i haven't had a chance to ask lindsay about the mac  her phone has been disconnect
380,ohhliveyah,and now i can't even have my classy dinner party.  stellar!
381,iliv4hm,@hiediearwood Andy changed his profile pic on myspace 
382,Feelslikehome,...and the birthday party is postponed. 
383,jerrah,Started roof swap on track car. Took way longer than I expected. Project currently unfinished. 
384,Harishk,"@krist0ph3r Dude totally exhausted maan, didn't even take a train. Ma friend picked me up on the way back to Panvel. "
385,crywolfclothing,site temporarily down!  working on getting it back up.
386,geegRAMA, every fucking day
387,soon2btemple,just said goodbye to drew. breakfast was awkward. both started crying in bob evans and had to leave. tudors won out.  this stinks already 
388,yuliandini,@pamungkas tip came too late  but got nice shots focusing on the candles
389,Catchatorie,"Unfortunately, Phish is in Asheville the night before the Beastie Boys, so the only hotel downtown is booked solid   #fb"
390,Irish_Maggie,I got 400 points from biting all those people!...Dang it.I'm out of energy 
391,TeddyBonesGriff,I'm freezing. Did I dream I was sweltering to death this time last week? &amp; I was worrying about my wildflowers not having enough moisture 
392,beckyrx,"@tommcfly I would vote for you, but I can't get onto the link everyone keeps putting up!  xx"
393,WordiNation,@kellyjo9 Omagosh ... there's this http://bit.ly/p6R11 (fun music coming!) and then www.indianabeach.com -- but no jingle! 
394,iamcheerbear,@ifoughthelawn i wanna play too 
395,North81,"@samueltwitt1 I'm sad that you're not coming to St. Louis, MO!    Is it true that you are touring w/ Thriving Ivory? They're my fav band!!"
396,Spiers94,@Melimoo94 not good  you have to bring your memory stick tonight x
397,thillerson,"@Daedelus76 Yes, the account owner of our Dev team forgot to put my device on the list, so it's useless until he does "
398,annadeca07,plus Mitch doesn't want to talk to me...... 
399,contrecoup,@aflaminghalo How terribly helpful of them. 
400,recordbreaker5,"looking tho hair styles, getting mine cut really really short  o well, it's for a good cause"
401,DJBigboss,"@georgmahr @denharsh 3$ per 12 credits, so about 9$ for them. I had to get 60 to get that 50 so thats like $20+ wasted "
402,bethanxx,"Just saw a wedding car, how unlucky wedding in the rain rain rain "
403,Johnerz,@brianlondon hahaha! What u need to do is get on that stove k thanks! The 18th is almost here  LOL
404,peeks,@shevvy09 I'm in the same boat. Bad timing for holiday paperwork-wise. Have to figure out what I need and get it done 
405,cr4zychri5,"Hmm, turns out LG phones are allergic to Macs "
406,MiniMinscom,"I want chocolate: I can smell it, and the bars in the shop are calling me.  http://is.gd/Qjbj"
407,hopeless_hearts,"I hate walking home after I've stayed at a friend's house tbh. I'm tired, I need a shower and I can't be bothered doing anything "
408,Melamachinko,@ddotomen whappen? u were in an accident or sum'n? 
409,juliezerbo,soo wishing I could be at the French Open....not this year 
410,chrishepherd,The commercial about confronting animal cruelty just made me cry 
411,xreneep,Or maybe i used up all my productivity too early.. Now i'm having a hard time doing much of anything 
412,Ales_Alessandra, Dinara lost again in Roland Garros. Why the Safins have to do it hard?
413,rockbox1590,"Ok, now I know I'm half asleep. I can't even type properly on the on-screen keyboard! "
414,purple_10,is the only 1 that works around here 
415,Cory_Kennedy,@inesisthename i think ill be in germany 
416,redflamerose,i drew on my hand with a Sharpie and now it's rubbed off on my favourite Gleeved jumper 
417,eileenhinojas,"@lexiarchuleta well , summer's over..  going back to school on monday... how about you what's up??"
418,xSpotlighted,"i wanna go visit my family in montreal, canada. haven't been in like 7 years. "
419,hyperactivekid,okay..am so sleepy now. lights out in 15 mins time cos i have to clear my BED where all my books n worksheets r scattered on...sighhhh. 
420,ewinmn,my sister just got her clarinet yesterday. now i can play flute with her!!! yeahh but she still has 2 take summer lessons 
421,nataliecoleslaw,@monkeypot yes I know 
422,Feelslikehome,Meant to say - Birthday party is postponed.  G woke up with 102 temp and then started vomiting. Poor kid.
423,RUANGELNJ,Is NOT pregnant 
424,Menage_A_Moi,Discovered that riding a road bike finds a completely new set of muscles to ache  from a mountain bike 
425,carriearnull,i have no followers!!!!!!! 
426,kellbells_19,whoah. sorry about that. leesburg today to deal with family stuff. i really don't want to go.. there is no point. 
427,Th3Brave,Breaking my back on the new outside kitchen  grrrr but the result wil be fantastic....... I think ....  Lets fond out in a few minutes
428,FeenyFTW,My fever is giving me the chills. So I am just going to shiver under my covers and watch little mermaid.  
429,TCFS,"@mknell i wisssshhhhhhhhh i could goooo   the hangover is hilarious, and i love burgers "
430,teardrop3d,watching ppl play poker (in port arlington)... lost it all in 3rd round 
431,inkybinkybee,"Bah, it seems our line has a fault, which has just been logged with BT. Another few days to wait... "
432,kat0her0in0e,@Nifty_Nikki oh no! i entered! opps! anyway! since i cant find my phone i'm tweeting you... i cant spend the night tonight. 
433,choleisamutt,Home...tired..thinking i am getting the flu 
434,kphotos,sales from CP depressing since stores removed from MarketPlace.  
435,stillsoul,Poor ole Shane. That pass will hurt him bad... 
436,marypereira,"@Dannymcfly dannyy, you are so cute. your laugh is so sweet haha. i think i can't send my letter for you here in Brazil, but.. i tried. "
437,suriyaniee,accidentally stepped on my earpiece! need a new one badly!!!!!!!!!!! 
438,ohsostrange,It's too early to be awake. 
439,NYCgirl814,People keep telling me to sleep Why? Why?  no I cant abandon Ashley....whered she go?
440,Sunnywithbiss,-.- manno wil auch 
441,hiediearwood,"@iliv4hm lets all take a moment of silence to mourn the passing of a fantastic profile photo of one Andy P Skib, taken by Mandy "
442,KellieBent, Had to buy a pair of wellies. Still in denial that it's gonna rain at Download.
443,tipaow,@Patticanflyy you be kidding...zomg...YOU WENT THROUGH IT ALL FOR NOTHING NESS!  bajs pÃƒÂ¥ det assÃƒÂ¥.
444,alocalshop,at black head in galway waiting for the volvo ocean boats. where are they?? disappointing lack of tweets on this 
445,mantene,@ceskaholka Wow. four days! I get migraines frequently but after 3 days they usually go away! You poor thing!  So Sorry!
446,mannissa,is busy with a design document! 
447,iCarluccio,Damn  Hotspot shield no longer works with Hulu 
448,Risaa,"I went through all the course material and all the texts, and have an extensive outline drawn out, but still... only halfway done. "
449,nvreez,"Finally, succesfully upgraded to cs4. Think I'll pass that Leopard reÃƒÂ¯nstall, too much hassle "
450,sumb15,revision for exams..!!   soo saddddddddddddddddd
451,Weemario,Sobbing at being left alone whilst the boi works the allnighter. Im in a (lonely) mood 
452,LeslieSholly,Nothing like going to sleep with a headache and waking up with a headache.  Except maybe having one all day too?  Remains to be seen. 
453,gracielle08,"I've never had an acne this big.. darn, adolescence is coming a bit late! "
454,gauneyKAY,this movie is reminding me of all the things i dnt want to be reminded of 
455,MaalHimself,@HAZxTHEWORLD well I lost the piece around it how I dunno  but I just took that pic
456,rachelraymond,@natetedrow I BAWLED TOO! And then hugged my dog for two hours straight. It didn't help that he's my second golden retriever either! 
457,Amie__88,Youchy! That's not good 
458,nanpug,working...and trying to get into Ridgewoods new site 
459,JoannaPL,feeling sorry for Dinara  losing FO final with double fault sucks!
460,im_the_martian,@thelane aww... I guess I'll just have to wait for @common_squirrel 
461,lenevangelista,wonders why they need to be so charming in my stupid eyes!  http://plurk.com/p/yw8ct
462,alauraborealis,@panoptinick I dreamt you stole the keys to the radio station I work at and graffiti-ed the place.  I was so sad.  
463,AmberCadabra,@LisaHoffmann I just went through mine last night. Embarassing how late I was. 
464,ScoopEmUp,@zarinah thats wat i heard but people lie to me 
465,bestofbadmoods,"@a_tiny_spark i wish i could help you out more on that, but i have no idea how m&amp;g works.  i don't want to cause you missing it."
466,Chazz4you,Poor safina no slam. And I thought mentally she had it together. 
467,Jaxthatgirl,cleaned my room again- still no passport. I #blamesdrewscancer for my missing passport 
468,bslam00,"That didn't even feel like sleeping in! Still tiiired   Oh well, let's get started on the day...I'm thinkin haircut"
469,Vicki_Michelle,@azzurrafm damn I though you had a wicked girl crush on me for a moment. What a let down 
470,mksmarteygrlx3,back from the blooddd testt  i was so scared lol
471,alliphilangie,@phowe9....noooo it cant be 
472,taurusbanrion,in the hospital 
473,stephs94,i hate chemistry.its official now. 
474,Chrisfarlow,@Remy_Foster Yeah  my psyco grandma says that all I will do is sit there and play it and nothing else...
475,AdamIrish,"Bad news for Apprentice lovers, Nick 'N' Margret has become Nick 'N' New Person  for the next series "
476,rachelraymond,@natedrow I BAWLED TOO! And then hugged my dog for two hours straight. It didn't help that he's my second golden retriever either 
477,adamammp,BORED AS A VERY BORED THING 
478,reverieBR,@mstohl hmm yes.... 
479,cantyka,saturday night just at home 
480,denissaa,I miss Dakota Fanning soo . i wanna check her website to know the news or new photo but i can't 
